Article,Date,Heading,NewsType
"ISLAMABAD: Minister for Petroleum Shahid Khaqan Abbasi on Monday said the government will begin importing Liquefied Natural Gas (LNG) from March 31.Talking to Geo News, the Petroleum Minister said initially 300 MMCFD (million cubic feet per day) of LNG will be imported. After six months the import volume will be increased to 400 MMCFD, he added.Shahid Khaqan Abbasi informed that Pakistan’s current consumer demand for LNG stands at 600 MMCFD.He said that in the initial phase, the Finance Ministry will foot the LNG import bill from subsidy allocated for the power sector.The Minister said the electricity generation from LNG will cost Pakistan less compared to the power production from diesel.He, however, said that the price for LNG has not yet been determined. 










",2/23/2015,lng import to begin from march 31 abbasi,business
"London: Oil prices slid Monday, extending last week´s sharp decline as the dollar strengthens on eurozone strains and record supplies in the United States add further downward pressure.US benchmark West Texas Intermediate (WTI) for delivery in April shed $1.17 to $49.64 a barrel compared with Friday´s close.Brent North Sea crude for April lost $1.24 to stand at $58.98 in London afternoon deals.WTI slumped 4.66 percent and Brent tumbled 2.1 percent during the week to last Friday.""Crude oil prices extended declines (Monday)... as investors remained cautious following the ongoing uncertainty in the eurozone, while the strong US dollar currently weighed on market sentiment,"" said Myrto Sokou, senior research analyst at Sucden brokers.""Crude oil inventories continue to remain fairly high, following sharp builds of crude oil stocks in the last few weeks. The continuous large increases of crude inventories verify a possible slowdown of US oil demand,"" she added.Globally, crude supplies are being boosted after oil fields in eastern Libya resumed pumping to the Hariga port after a pipeline was repaired, Bloomberg News reported.And Oman, the biggest Middle East producer outside the Organization of Petroleum Exporting Countries, plans to ramp up output to 980,000 barrels a day this year.Crude prices lost around 60 percent of their value between June and late January owing to an oversupply in world markets, a weak global economy and a strong dollar that made oil expensive to purchase for holders of rival currencies.The euro continued to be pressured by the dollar Monday despite eurozone ministers tentatively agreeing to extend Greece´s bailout by four months.While oil prices have won support in recent weeks on a decline in operating US oil rigs and as energy giants cut investment, markets-watchers say volatility is likely to continue for some time.Daniel Ang, an investment analyst with Phillip Futures in Singapore, said a sustained rebound for oil prices was unlikely because of a global oversupply of the commodity, noting that US crude production has remained strong at above 9.2 million barrels per day.He said a strike in US oil refineries has led to an excess of crude in the American market as less of the product is being sent to the facilities for refining.Workers at three major US oil refineries operated with Royal Dutch Shell went on strike on Saturday in a dispute over safer working conditions, the United Steelworkers (USW) union said.About 1,350 employees in three refineries and chemical plants are affected by the latest strike action, which mirrored walkouts on other sites launched earlier this month. (AFP)                        










",2/23/2015,oil prices extend slid,business
"KARACHI: The price of sugar decreased by 50 paisas in the wholesale market and is now being sold at Rs 49 per kilo. According to sources in the wholesale market, the price decrease took place due to an increase in the supply of sugar. The price decrease is also being experienced at the retail level where sugar is being sold at Rs 52 which is an Rs 1-2 decrease.  










",2/23/2015,price of sugar decreases in karachi,business
"London: Oil prices rebounded slightly Tuesday after recent sharp losses caused by an oversupplied market.US benchmark West Texas Intermediate (WTI) for April delivery rose 39 cents to $49.84 a barrel.Brent North Sea crude for April climbed 51 cents to stand at $59.41 a barrel in London afternoon deals.WTI shed $1.36 in New York and Brent lost $1.32 on Monday, building on heavy losses last Friday, as US crude stockpiles linger at historic levels, contributing to a global oversupply.A closely watched report on US weekly crude stockpiles is next due on Wednesday, with a Bloomberg News survey saying inventories are expected to have risen by 3.75 million barrels.US oil stockpiles are already at their highest level on record at this time of year.""The expectation of further rising US crude oil stocks is pressuring prices,"" said Commerzbank analysts in a note to clients.Globally, crude supplies are also being boosted after oilfields in eastern Libya resumed pumping to the port of Hariga after a pipeline was repaired, and oil producer Oman plans to ramp up output to 980,000 barrels a day this year.""The partial return of supply from Libya is weighing on the Brent price despite its sustainability being anything but certain,"" said Commerzbank.Crude prices lost about 60 percent of their value to about $40 between June and late January owing to an oversupply in world markets, a weak global economy and a strong dollar.Prices have risen above multi-year lows following a slowdown in US oil drilling activities, but analysts say volatility is likely to continue for some time.""It is apparent by now that drilling in the US will slow, global production growth is expected to be lower, and demand, at least in the US, is reacting positively to lower prices,"" British bank Barclays said in a report.""In short, the market is forecast to remain oversupplied for most of 2015, but expectations beyond that are for more balanced fundamentals."" (AFP)                        










",2/24/2015,oil prices rebound slightly,business
"TOKYO: Tokyo stocks opened flat on Tuesday after recent advances to 15-year highs as caution over a Greek debt deal grew.The Nikkei 225 index at the Tokyo Stock Exchange was up 1.47 points, or 0.01 percent, at 18,468.39 at the start.The euro remained under pressure as traders waited to see if Greece could complete the agreement reached last week with eurozone partners on its bailout programme.Athens has delayed sending a list of reforms to its international lenders aimed at obtaining a four-month extension of its bailout.The euro bought $1.1332 and 134.73 yen early Tuesday, compared with $1.1337 and 134.63 yen in New York Monday afternoon.The dollar was at 118.87 yen against 118.76 yen in US trade. Among individual stocks, Hitachi eased 0.20 percent to 833.0 yen in early trade after media reports that the Japanese firm reached a basic accord with Italian aerospace and defence giant Finmeccanica to buy its rail business for 250 billion yen ($2.1 billion).On Wall Street on Monday, the Dow Jones Industrial Average declined 0.13 percent following lacklustre housing data on the eve of congressional testimony by Federal Reserve chair Janet Yellen 










",2/24/2015,tokyo stocks open f,business
"ISLAMABAD: All the petroleum products except diesel are likely to be increased from March 01, Geo News reported.Sources said Oil and Gas Regulatory Authority (OGRA) has prepared summary for hike in the POL product prices on the basis of 27 per cent General Sales Tax (GST) and moved it to Ministry for Petroleum.Sources said OGRA has proposed Rs5.59/litre hike for petrol, Rs7.32 Kerosene oil, Rs12.62 HOBC and Light Diesel Rs5.50 per litre.The authority has also suggested Rs5.49/litre decrease in the diesel prices.The Ministry for Petroleum will forward the summary to the Finance Ministry for a final go-ahead.                        










",2/26/2015,pol prices likely to go up from march 1,business
"London: Oil prices rebounded Friday on bargain-hunting at the end of a volatile trading week, having slumped the previous day as surging US crude reserves added to the global supply glut.European benchmark Brent North Sea crude for April delivery rallied $1.14 to $61.19 a barrel in London midday deals.New York´s West Texas Intermediate (WTI) for April added $1.02 to $49.19 a barrel.Crude futures had dived Thursday as the market appeared to do a double-take on Wednesday´s US inventories report, which showed US crude stockpiles hit a fresh record last week.""US crude oil (prices) posted a rebound... after plunging 5.5 percent the previous day as rising US inventories countered expectations for recovering demand,"" said ETX Capital analyst David Papier.WTI sank $2.82 in New York on Thursday while Brent shed $1.58 in London, in a delayed reaction by traders to a bigger-than-expected 9.4 million barrels increase in US crude stocks in the week to February 20.The US Department of Energy said Wednesday US crude reserves now stand at a record 434.1 million barrels.Surging American oil reserves normally weigh on prices because the United States is the world´s biggest consumer of crude.""The Brent price appears immune to the negative news. US crude oil stocks surged significantly once again,"" noted Commerzbank analysts.Crude oil has however lost about 50 percent of its value since June, weighted down by the global supply glut.Later on Friday, traders will switch their focus to economic growth data in the United States, for clues on the health of oil demand.""Investors will have plenty to look forward to today and with the second reading of US Q4 GDP data, as well as the Chicago PMI and University of Michigan sentiment index we could see further gains in crude oil on any positive surprise,"" said Sucden anlayst Kash Kamal.Earlier this week, prices won support from upbeat comments from Ali Al-Naimi, the oil minister of major oil producer Saudi Arabia.Oil demand is growing and the market has turned ""calm"", Al-Naimi said on Wednesday.Saudi Arabia is the biggest and most influential member of the Organization of the Petroleum Exporting Countries (OPEC), which in November decided to maintain output levels despite a global oversupply.""Prices managed to get some support amid positive comments from OPEC´s kingpin Saudi Arabia´s Al-Naimi, who said prices were stabilising and that demand was growing,"" said analyst Andrey Kryuchenkov at Natural Resources Consulting.""However, US crude stockpiles continue to push higher amid refining strikes, weather-related disruptions and still ample production."" (AFP)                        










",2/27/2015,oil rebounds after volatile ,business
"ISLAMABAD: Ambassador of Tajikistan Sher Ali Jononov on Friday said that his country was preparing to export sizeable quantity of electricity to Pakistan to lessen the intensity of the energy crisis which has compromised economic growth. The KASA 1000 project is among the major electricity transfer projects in the region, based on which 1,300 megawatts of electricity from Kazakhstan and Tajikistan is expected to be transferred to Afghanistan and Pakistan.He said that Tajikistan wished to enhance bilateral trade with Pakistan and invited the business community to visit his country to explore investment opportunities and organise trade exhibitions. He added that the energy sector of Tajikistan had been showing sustainable growth for the last 15 years transforming the country into the world’s third largest producer of hydroelectric power after the US and Russia. Jononov went on to say that hydroelectric generation accounted for 76 percent of the total energy output of the country and the total cost of the project which would lighten Pakistan through Tajik electricity will be financed by the World Bank, ADB, Islamic Development Bank and other donors.He also said that this project would not only alleviate electricity shortages in Pakistan but would also replace fuel based electricity generation for Afghanistan and Pakistan, adding that it would also establish Afghanistan as a viable transit country and offer transmission capacity for other countries during the off peak season.He further said that it would also create a viable governance mechanism to build confidence among neighbours as major share of the export will be used by Pakistan and approximately 300 MW will be utilised by Afghanistan. 










",2/27/2015,tajikistan to help pakistan overcome energy crisis through kasa 1000 proj,business
"London: Global oil prices fell Monday, after bumper gains before the weekend, as many traders took profits and eyed plentiful world crude supplies, analysts said. European benchmark Brent North Sea crude for April delivery dropped $1.26 to $61.32 a barrel in London early afternoon deals.New York´s West Texas Intermediate (WTI) for April shed 90 cents to $48.86 a barrel.Crude futures had rebounded sharply Friday at the end of a volatile trading week. WTI had advanced $1.59 while Brent gained a hefty $2.53.""Oil prices came under renewed pressure,"" said Sucden analyst Myrto Sokou on Monday.""Crude oil inventories continue to remain at fairly high levels following ongoing builds of crude stocks last week.""Oil has lost about 50 percent of its value since June, largely due to a global supply glut partially caused by surging US shale production.""Although there is still a global supply glut, oil prices are on a general increasing trend especially with the falling rig count numbers indicating that US shale is responding to low prices,"" Ken Hasegawa, energy trading manager at Newedge Group in Tokyo, told AFP. The weekly Baker Hughes US drilling rig count showed the number of rigs in operation fell by 33 to 986 in the week to February 27. The count is down 39 percent since October, according to Bloomberg News. Analysts said dealers will next be scrutinising a slew of US economic data to be released later Monday for clues on demand prospects in the world´s biggest crude consumer.  (AFP)                        










",03-02-2015,oil market recoils on oversupply,business
"HONG KONG: Hong Kong stocks rose 0.70 percent in the first few minutes of trade Monday after China´s central bank at the weekend cut interest rates for the second time since November.The benchmark Hang Seng Index added 173.47 points to 24,996.76. 










",03-02-2015,hong kong stocks open 0.70 percent higher,business
"NEW YORK: Billionaire philanthropist Bill Gates kept his spot as the world’s richest man, a rank he has held for 16 of the past 21 years, Forbes magazine said Monday.The Microsoft co-founder’s fortune increased $3.2 billion since last year to $79.2 billion, the business magazine said, despite a $1.5 billion gift of Microsoft shares to the Bill & Melinda Gates Foundation in November.Mexican telecom tycoon Carlos Slim held onto second place thanks to his $77.1 billion, ahead of American investor Warren Buffett, with $72.7 billion. The so-called Oracle of Omaha was the biggest gainer of the Forbes list this year, up $14.5 billion from last year riding on the rising share price of his Berkshire Hathaway.In fourth was Amancio Ortega, founder of the Inditex fashion group that includes Zara clothing retail shops. He counts a fortune of $64.5 billion.Facebook co-founder Mark Zuckerberg jumped five spots to land in number 16, the first time he made it within the exclusive circle of the world´s 20 richest people.Jack Ma, whose Alibaba online marketplace made the biggest global IPO ever last year, was ranked among the world´s 50 richest people, along with two other Chinese nationals.The number of billionaires is growing steadily, breaking an all-time record this year, with 1,826 — up from 1,645 last year.The rise of the dollar against the euro, along with plunging oil prices, had a significant impact on this year’s list.                        










",03-03-2015,bill gates still the richest man in the world,business
"ISLAMABAD: Federal Minister for Water and Power Khawaja Asif on Wednesday said that despite the expiry of an agreement with the K-Electric, power is being supplied to it keeping in view the interest of people of the metropolis.Speaking to media representatives, he said that K-Electric has the capacity to generate sufficient power to meet the requirements of Karachi. However, it gets 650 MW of subsidised electricity from the national grid, he added. Asif said the issue will be reviewed in the new contract agreement with the K-Electric.The minister said the duration of loadshedding has been reduced across the country as compared to the previous year. Industries are being provided with uninterrupted electricity now, he added.To a question about the funding of Diamer Basha Dam, the power minister said the government will start construction on the project from its own resources. When asked about violations of Indus Water Treaty by India, Khawaja Asif said Pakistan is vigilant to the situation and will raise the matter at an appropriate forum in case of any violation.                        










",03-04-2015,pact with k electric expired govt not bound to provide power asif,business
"London: Oil prices rose on Friday as dealers awaited US jobs data and focused on increasing tensions in the Middle East and Ukraine.US benchmark West Texas Intermediate for delivery in April added 14 cents to $50.90 a barrel.Brent North Sea crude for April gained 56 cents to stand at $61.04 a barrel around midday in London.Investors awaited the release Friday of US non-farm payrolls data that, if strong enough, could support a Federal Reserve interest rate increase in the world´s biggest consumer of crude.Analysts expect growth of 240,000 jobs in February and a fall in the unemployment rate to 5.6 percent from 5.7 percent.""Crude oil prices climbed higher... ahead of the release of the US employment data which will set the tone for today´s trading session,"" said Myrto Sokou, senior research analyst at Sucden brokers.Michael McCarthy, chief market strategist at CMC Markets in Sydney, told AFP that traders were ""seeing a lot of upside potential, possibly based on tensions in the Middle East and Ukraine.""""Somehow, we are seeing investors looking away from the huge build in US (crude oil) inventories this week,"" he added.Libya´s National Oil Corporation declared force majeure Wednesday at 11 oil fields after attacks by militants.The OPEC member country has been battling the rise of militias seeking control of its cities and oil wealth since the killing of dictator Moamer Kadhafi in 2011.Unabated fighting has seen its output reduced from a high of almost 1.5 million barrels a day to 150,000, according to analysts.In Ukraine, investors are closely watching latest efforts to prop up a ceasefire in the country´s eastern region, currently controlled by pro-Russia rebels.The 10-month conflict in the country -- a key conduit for Russian energy exports to Europe -- is seen as Europe´s worse since the war in the Balkans in the 1990s.Data on Wednesday meanwhile showed a 10.3 million barrels surge in US crude reserves in the week to February 27, which dampened expectations of robust demand in the world´s biggest economy. (AFP)                        










",03-06-2015,oil prices rise before us jobs d,business
"DUBAI: Bahria Town and K-Electric signed an agreement on Saturday, which will add 500MW of electricity supply for Karachi. According to the deal inked in UAE, KElectric will set up one coal based and one liquefied natural gas (LNG) based power plant in the metropolis and will supply uninterrupted power to Bahria Town Karachi.Speaking exclusively to Geo.tv from UAE, K-Electric’s spokesperson Usama Qureshi confirmed that two agreements have been signed, which include setting up of a 300MW coal powered plant and a 200MW LNG powered plant, while the second agreement pertains to supplying uninterrupted power to Bahria Town Karachi. Speaking on the occasion Ex-Chairman & Founder of Bahria Town Malik Riaz said, “For the people of Karachi, LNG and coal powered plants will be setup and Karachi Bahria Town will receive uninterrupted power supply.” 










",03-07-2015,bahria town kelectric ink agreement on power plants for karachi,business
"ISLAMABAD: International Monetary Fund (IMF) Director for Middle East and Central Asia, Masood Ahmed said the economic survey of Pakistan is conducted keeping in mind the security situation in the country. Speaking at a seminar here, Ahmed said the IMF was aware that billions spent on security were putting pressure on Pakistan’s economy. He added the IMF has issued directives to Pakistan to decrease expenses and to focus on health and education in the budget. The IMF has also directed Pakistan to take necessary measures to increase tax revenue.  










",03-09-2015,security situation integral in economic survey of pakistan imf,business
"ISLAMABAD: The Federal Bureau of Revenue (FBR) has begun chasing wealthy tax-dodgers who enjoy lives of extravagance and luxury, but revenue officials face huge challenges in trying to force the very richest — and most influential — to pay up.Pakistan's tax-to-GDP ratio of 9.5 percent is among the lowest in the world and the government is under pressure from foreign donors and lenders, including the International Monetary Fund (IMF), to increase collection to boost the struggling economy.Revenue authorities say they have identified about a quarter of a million new taxpayers who they project will add around 14 billion rupees ($140 million) to government coffers.Broadening the tax base and improving the economy after years of drift and sluggish growth under the last government was a key pledge in Prime Minister Nawaz Sharif´s 2013 election campaign, when he was swept to power for a third time.Currently less than one percent of Pakistanis pay income tax and the government collected just $8 billion in total income tax in the 2013-14 fiscal year — barely enough to cover just the country´s defence expenditure of $7 billion.The finance ministry is aiming to boost the tax-to-GDP ratio to 15 percent in the current fiscal year ending June 30.As part of those efforts, the FBR is compiling lifestyle and vehicle data to try to trace unregistered taxpayers, including wealthy landlords and businessmen zipping between their luxury homes in imported Mercedes.""We are collecting information from the vehicle registration authority, car manufacturers, utility companies, telecom companies and property registration offices and tracing people who are not paying any tax,"" FBR spokesman Shahid Hussain told AFP.Taxpayer profilesThe data is used to generate profiles of potential taxpayers, after which demands are issued for them to pay income tax.""FBR has already issued notices to 261,250 potential tax payers,"" Hussain told AFP, adding that that new taxpayers have paid 570 million rupees since the crackdown started.It is not just dodgy businessmen who have been caught — several lawmakers have been found paying either no tax or very little and not filing their mandatory annual tax statements.The FBR has taken punitive measures against some ""chronic defaulters"", freezing nearly 300 bank accounts, seizing more than 100 vehicles, putting 78 properties up for sale and issuing arrest warrants in 40 cases.""Employing information technology, the FBR is creating a central database which would contain information about all taxpayers and nobody will be left undetected,"" Hussain said.A new FBR department tasked with broadening the tax net started working in July 2013 and within one year it started showing results, he added.But Pakistan is a country where wealth and political influence go hand in hand. For generations, landowners and industrialists have given patronage to political parties and scant attention has been paid to their assets by the taxman.Changing this privileged arrangement is a tricky proposition.Umar Cheema, an investigative journalist for Pakistani daily The News who has done several major exposes on tax-dodgers, says the FBR´s commitment is encouraging, but he does not expect them to net any big fish.´War on tax cheats´""FBR is after those who can´t influence them,"" Cheema told AFP, citing several well-known tycoons considered among Pakistan´s richest whose names were missing from a list of the country´s top 100 taxpayers.""It can be done only by waging a war against tax cheaters without discrimination of good and bad cheaters,"" Cheema said.Pakistan´s central bank said in a recent report that tax revenue growth was not keeping up with budget targets.The tax take grew 11.7 percent in the first quarter of the current fiscal year, against an annual target of 26.9 percent — but this was only half the growth of the same period during the previous fiscal year, according to the State Bank of Pakistan (SBP).The central bank has urged the government to simplify tax procedures and do more to increase the documentation of the economy.A vast amount of business in Pakistan is done off the books, making transactions hard to trace and levy dues on.""Although FBR has taken a number of measures to increase tax collection, these focused more on deductions at source, and/or increasing the tax rates,"" a recent SBP report said, warning such measures had enjoyed ""limited success"" in the past.The IMF, though, has said the government´s reform programme — tied to a $6.6 billion loan from the Washington-based lender — was on track, and expects growth to accelerate to 4.3 percent in the 2014-15 fiscal year from 4.1 percent previously.But even with growth quickening and officials insisting they are making inroads, challenges to the government´s efforts to gather taxes remain considerable.                        










",03-09-2015,fbr moves to widen tax net but big fish yet to be caug,business
"LONDON: The US dollar hit multi-year highs against the euro and yen on Tuesday on the growing chance of the Federal Reserve hiking interest rates by mid-year, the prospect of which also hurt stocks and currencies from emerging markets.The skittish mood spread from Asia to Europe where stocks were down for a second day despite the European Central Bank's new bond buying campaign continuing to push down the euro and the bloc's already record-low borrowing costs.Driving the dollar up was speculation that the Federal Reserve, in contrast, will start lifting interest rates from mid-year after another round of stellar jobs data on Friday and a subsequent chorus of hawkish Fed policymaker comments.The euro's woes were compounded by worries about Greece as euro zone finance ministers met in Brussels a day after the head of the group, Jeroen Dijsselbloem, urged Athens to ""stop wasting time"" and start implementing reforms.Selling in the euro had gathered pace again in Europe as a break below a major layer of chart support at $1.0762 to $1.0735 left bears eyeing 1.07 the figure and some mulling potential parity.The dollar also broke higher on the yen in Asia to reach 122.02, territory not visited since July 2007.""It is all about the Fed now,"" said Aurelija Augulyte senior FX strategist at Nordea in Helsinki. ""The ECB (bond buying) bias has now been fully digested, but what the market is now trying to do is price in earlier Fed rate hikes.""The prospect of rising US yields threatened to draw funds away from emerging markets, causing strains from Brazil to Turkey. The Brazilian real led the rout, having fallen for the sixth straight session.The pressure spread then through Asia with the South Korean won hitting its lowest since late August 2013 and the Singapore dollar its lowest since 2010.Eastern Europe was also heavily in the red. Selling accelerated for Poland's zloty, Romania's leu and Hungary's forint and MSCI's main emerging market stock index fell 1 percent, down for its eighth day running.                        










",03-10-2015,dollar at 12 year peak vs euro emerging markets spooked,business
"KARACHI: Compressed Natural Gas (CNG) outlets in Sindh will remain suspended on second consecutive day Thursday.Sui Southern Gas Company (SSGC) officials said duration for closure of CNG stations across the province has been extended due to shortage of gas in the system.According to the schedule, the CNG outlets remained closed on Wednesday as well.                        










",03-11-2015,cng stations in sindh to remain shut on thursday,business
"London: World oil prices rose Thursday on the back of the weaker dollar, but gains were capped after US crude reserves swelled again to a record high.In midday London deals, European benchmark Brent North Sea crude for April delivery advanced 82 cents to $58.36 a barrel.US benchmark West Texas Intermediate (WTI) for April added 52 cents to $48.69 a barrel.""Despite the bearish oil inventories report yesterday, crude oil prices rebounded in early trade this morning supported by a slightly softer US dollar,"" said Sucden brokers analyst Myrto Sokou on Thursday.""Brent futures recovered and climbed higher towards $59 per barrel while WTI futures rose above $48.50 per barrel.""The weaker greenback makes dollar-denominated crude cheaper for buyers using stronger currencies, which tends to stimulate demand and prices.Crude futures had finished mixed Wednesday after a key report showed US crude stockpiles had struck another record high, adding to an oversupplied global market.The US Department of Energy said crude oil inventories surged by 4.5 million barrels in the week to March 6 to 448.9 million.That was the highest level since the beginning of the weekly data series in 1982.Crude prices lost some 60 percent of their value to decline to about $40 between June and late January owing to an oversupply in world markets, a weak global economy and the strong dollar.Prices have since rebounded somewhat following a slowdown in US oil-drilling activities, but analysts say volatility is likely to continue for some time.Elsewhere, investors were monitoring the progress of talks between the United States and other major Western powers and Iran on Tehran´s contested nuclear programme as a deadline at the end of March nears.The Islamic republic has been crippled by a series of UN and US sanctions, including on crude exports, aimed at bringing an end to its nuclear drive, which the West says is being used to develop atomic weapons. Iran denies the allegations.""Prices are likely to remain in a tight range for the next two weeks until the market gets more clarity on the ongoing negotiations between Iran and the US over the lifting of sanctions,"" said Sanjeev Gupta, head of the Asia-Pacific oil and gas practice at business consultancy EY. (AFP)                        










",03-12-2015,oil market adv,business
"The International Monetary Fund (IMF) has cited Pakistan’s prudent monetary and fiscal policies along with other measures as reasons for an improvement in the country’s economy, reported The Wall Street Journal. Director IMF Middle East and Central Asia Department, Masood Ahmed following his visit to Pakistan said: “The authorities have made progress with consolidating macroeconomic stability, strengthening public finances and rebuilding foreign-exchange buffers.” The director also called on the Pakistani government to broaden the tax base which would increase revenue and reduce debt.   










",03-12-2015,pakistans economy improving imf,business
"London: World oil prices sank Friday after the International Energy Agency warned over the price outlook amid bulging global supplies.In midday London deals, European benchmark Brent North Sea crude for April delivery fell 57 cents to $56.51 a barrel.US benchmark West Texas Intermediate (WTI) for April shed 72 cents to $46.33 a barrel.""Crude oil prices extended losses ... as investors remained cautious following the bearish IEA oil monthly report, high levels of crude oil inventories and the strong US dollar rally,"" said Sucden analyst Myrto Sokou.The Paris-based IEA energy watchdog warned Friday that the recent rebound in oil prices was built on flimsy foundations.Prices collapsed by 60 percent to about $40 between June and late January due to global oil oversupply, a weak world economy and the strong dollar.However, the market has since rebounded somewhat following a slowdown in US oil-drilling activities.""Behind the facade of stability, the rebalancing triggered by the price collapse has yet to run its course, and it might be overly optimistic to expect it to proceed smoothly,"" said the Paris-based IEA, which advises energy consuming nations.It noted that a key driver in the recovery in oil prices has been drops in the number of rigs drilling for shale oil in the United States.""Yet US supply so far shows precious little sign of slowing down. Quite to the contrary, it continues to defy expectations,"" said the IEA in its monthly report, which sharply revised up output estimates for the end of last year and forecasts for the start of 2015.The IEA hiked its demand forecasts for every quarter this year, with the annual 2015 figure bumped up by 100,000 barrels per day to 93.5 mbpd, compared with its previous forecast given last month.In earlier Asian trading, the oil market had risen on news of a deal to end a strike at US refineries.Crude futures had fallen Thursday after a government report showed surging US stockpiles, adding to a global oversupply.The US Department of Energy on Wednesday said inventories hit a fresh record high of 448.9 million barrels last week, while stockpiles at the Cushing terminal hub in Oklahoma -- the price settlement point for WTI -- also increased.Bloomberg News meanwhile reported the United Steelworkers union representing 30,000 US oil workers had reached a tentative deal on a four-year contract with Royal Dutch Shell that could see a mass walkout brought to a close.Another development affecting the market was an announcement on Monday by the US Energy Information Administration raising its crude production forecast this year to 9.35 million barrels per day from 9.30 million. (AFP)                        










",3/13/2015,oil market drops on iea price warning,business
"Islamabad: The Economic Coordination Committee (ECC) has approved allocation of 75 per cent gas from Turkmenistan-Afghanistan-Pakistan-India (TAPI) to Sui Northern Gas Pipelines and 25pc to Southern Gas Company.The approval was given during ECC’s meeting held in Islamabad on Saturday with Finance Minister Ishaq Dar in the chair.The committee also approved grant of Rs84 million for payment of four month’s salaries to the employees of Printing Corporation of Pakistan.The ECC also approved the proposal for allowing Attock Cement Pakistan to remit $24 million for establishment of Cement Grinding Unit in Basra Iraq.The ACPL intends to hire 50 percent of its labor force from outside Iraq and the venture will create employment opportunities for the Pakistanis.The committee also approved import of RLNG LNG by fertilizer plants using SNGPL Network with prior permission of the Ministry. (PPI)                        










",3/14/2015,ecc approves allocation of 75pc gas from tapi to sng,business
"London: New York oil prices sank to a six-year low on Monday, falling below $44 per barrel as the market was plagued by plentiful supplies and the strong dollar.In earlier deals, US benchmark West Texas Intermediate (WTI) for April delivery dived as low as $43.57 -- hitting the lowest since March 12, 2009.The contract later recovered slightly to stand at $44.40, down 44 cents from Friday´s closing level. European benchmark Brent North Sea crude for April fell 79 cents to $53.38 a barrel in midday London trade.Crude futures had plunged by more than two dollars on Friday after the International Energy Agency (IEA) warned of US crude reserves reaching storage capacity with little sign of a slowdown in output despite a global glut. ""Selling pressure was generated on Friday by the IEA, which warned that storage capacities could soon be exhausted in the United States,"" said Commerzbank analysts.""The reason cited by the IEA was the massive oversupply, which stems first and foremost from the still rising US oil production.""The US Department of Energy last week said stockpiles in the world´s top crude consumer climbed to a fresh record high of 448.9 million barrels last week. ""This week could be even more bearish for oil as there has been no shift in supply,"" Michael McCarthy, chief market strategist at CMC Markets in Sydney, told AFP. Singapore-based Phillip Futures said ""with fundamentals remaining unchanged, we hardly find a reason for crude oil to break higher or even lower"". Crude prices lost some 60 percent of their value to decline to about $40 per barrel between June and late January owing to an oversupply in world markets, a weak global economy and the soaring dollar.Prices have since rebounded following a slowdown in US oil-drilling activities, but analysts say volatility is likely to continue for some time.""Behind the facade of stability, the rebalancing triggered by the price collapse has yet to run its course, and it might be overly optimistic to expect it to proceed smoothly,"" the Paris-based IEA, which advises energy consuming nations, said last week. McCarthy said oil prices are also under pressure owing to gains in the dollar against other major currencies ahead of a closely watched US Federal Reserve policy meeting on Wednesday. A stronger US dollar makes dollar-priced oil more expensive for buyers using weaker currencies, denting demand. (AFP)                        










",3/16/2015,us oil price hits six year ,business
"KARACHI: The announcement of Monetary Policy for the next two months is likely to be made on March 21 by the State Bank of Pakistan (SBP).The experts are expecting a further cut in the policy rate in view of improvement in the country’s foreign exchange reserves, stability in rupee value and the decline of inflation rate to 3 percent.They are expecting that the central bank might ratchet down the discount rate by 0.5 to 1 percent.The economic analysts are of the view that a further cut in the policy rate of the SBP will not only provide additional impetus to the business and economic activities but also help boost employment in the country.  










",3/16/2015,further cut in sbp policy rate expected,business
"London: New York oil prices approached six-year lows Tuesday on worries over growing US stockpiles and after OPEC warned of a stubborn global supply glut, analysts said.US benchmark West Texas Intermediate (WTI) for April delivery slid to $42.63 a barrel -- touching the lowest level since March 11, 2009. It later stood at $42.70, down $1.18 from Monday´s close.Nearing midday in London, European benchmark Brent North Sea crude for May delivery fell $1.14 to $52.80 a barrel.Crude futures also dropped Monday on worries over growing US oil inventories, which already stand at record-high levels adding to the global oversupply.In addition, the market fell sharply after OPEC questioned the strength of last month´s rally, saying in a report that the price increase came ""despite the fact that global supply continued to exceed demand"".Traders are now eagerly awaiting Wednesday´s weekly US government report on crude reserves for the week to March 13.""Growing concerns that US crude stockpiles would see additional builds this week pushed prices lower,"" said Sucden analyst Kash Kamal.A Bloomberg News survey showed US crude stockpiles are expected to have increased by 3.3 million barrels to 452.2 million last week.US crude stockpiles have risen for nine weeks in a row to reach a record 448.9 million barrels on March 6.Singapore´s United Overseas Bank said the recent price decline was due to ""concerns that US crude supplies are at record levels and continue to build up"".World oil prices have collapsed by more than half since June last year on mounting US supplies, weak global economic growth and OPEC´s decision to keep output high despite falling prices.Leading US energy producers have curtailed some investment, resulting in lower weekly rig counts.Despite the reduced drilling, Goldman Sachs estimated Monday that US output would still grow by 230,000 barrels a day in the fourth quarter of 2015 compared with a year ago. (AFP)                        










",3/17/2015,us oil price nears six year ,business
